application_id,start_date,completion_date,city
10032557,2018-09-25T00:12:57.966Z,2018-09-25T00:39:12.433Z,Chicago
10032558,2018-09-25T02:11:27.733Z,2018-09-25T02:55:56.089Z,Chicago
10032559,2018-09-25T03:07:45.043Z,2019-02-12T19:21:46.592Z,Los Angeles
10032560,2018-09-25T06:35:58.459Z,2018-09-25T07:01:00.449Z,Los Angeles
10032561,2018-09-25T06:44:42.514Z,2019-01-15T19:28:20.871Z,Los Angeles
10032562,2018-09-25T12:17:21.972Z,2018-10-31T17:34:40.816Z,Chicago
10032563,2018-09-25T14:00:22.211Z,2018-10-03T00:08:58.111Z,Chicago
10032566,2018-09-25T14:38:06.236Z,2018-09-25T14:48:45.917Z,Chicago
10032567,2018-09-25T16:03:38.440Z,2018-09-25T16:26:46.588Z,Los Angeles
10032573,2018-09-25T18:22:04.966Z,2018-09-26T20:16:11.838Z,Chicago
10032574,2018-09-25T19:18:52.418Z,,Los Angeles
10032575,2018-09-25T21:14:45.046Z,2018-09-27T00:04:58.518Z,Chicago
10032576,2018-09-25T23:08:12.905Z,2018-09-26T00:01:52.713Z,Chicago
10032578,2018-09-26T05:19:58.705Z,2018-09-26T05:49:16.088Z,Los Angeles
10032579,2018-09-26T06:48:50.478Z,2018-09-26T07:03:24.653Z,Chicago
10032581,2018-09-26T20:03:25.491Z,,Los Angeles
10032582,2018-09-26T21:01:43.779Z,2018-09-26T21:28:21.374Z,Los Angeles
10032583,2018-09-26T21:21:17.907Z,2018-09-26T21:38:22.138Z,Los Angeles
10032584,2018-09-27T00:01:38.897Z,2018-09-27T00:18:48.209Z,Chicago
10032587,2018-09-27T01:00:50.310Z,,Chicago
10032588,2018-09-27T01:07:13.170Z,2018-09-27T01:25:45.338Z,Los Angeles
10032589,2018-09-27T06:12:00.919Z,,Los Angeles
10032594,2018-09-27T18:18:26.307Z,2019-08-30T18:24:31.341Z,Los Angeles
10032601,2018-09-28T00:16:16.182Z,2018-09-28T00:51:00.625Z,Chicago
10032602,2018-09-28T09:57:17.110Z,2018-09-28T10:13:14.815Z,Los Angeles
10032603,2018-09-28T13:14:25.986Z,2018-09-28T13:30:21.530Z,Chicago
10032604,2018-09-28T15:34:08.871Z,2018-09-28T15:57:39.011Z,Chicago
10032607,2018-09-28T16:56:54.313Z,2018-09-28T17:14:18.716Z,Chicago
10032610,2018-09-28T20:10:53.411Z,2018-09-28T20:23:24.214Z,Chicago
10032611,2018-09-28T20:42:07.039Z,2018-09-28T20:59:29.916Z,Chicago
10032612,2018-09-28T23:56:23.569Z,,Chicago
10032613,2018-09-29T00:06:29.815Z,2018-09-29T00:21:55.117Z,Los Angeles
10032614,2018-09-29T04:47:02.773Z,2018-10-29T14:14:18.730Z,Chicago
10032617,2018-09-30T01:12:59.812Z,2018-09-30T01:26:33.649Z,Chicago
10032618,2018-09-30T16:00:06.456Z,2018-09-30T16:16:57.015Z,Chicago
10032619,2018-10-01T00:11:23.754Z,2018-10-01T00:30:45.733Z,Chicago
10032620,2018-10-01T00:52:07.417Z,2018-10-01T01:08:01.247Z,Chicago
10032621,2018-10-01T02:28:20.236Z,2018-10-01T04:29:48.288Z,Chicago
10032622,2018-10-01T03:51:25.952Z,2018-10-01T04:07:31.102Z,Chicago
10032625,2018-10-01T10:55:11.234Z,2018-10-01T11:25:07.036Z,Chicago
10032626,2018-10-01T14:09:40.835Z,2018-10-01T15:09:33.629Z,Chicago
10032627,2018-10-01T14:33:49.108Z,,Chicago
10032629,2018-10-01T15:46:38.312Z,2018-10-01T16:05:25.016Z,Chicago
10032630,2018-10-01T15:58:11.929Z,2018-10-01T16:27:41.689Z,Chicago
10032631,2018-10-01T17:19:02.378Z,,Chicago
10032632,2018-10-01T18:02:27.584Z,2018-10-01T18:20:18.712Z,Chicago
10032633,2018-10-01T18:18:40.468Z,2018-10-01T18:40:03.723Z,Chicago
10032634,2018-10-01T19:37:41.819Z,2018-10-01T20:23:53.533Z,Chicago
10032635,2018-10-01T19:42:31.748Z,2018-10-01T19:56:32.123Z,Chicago
10032636,2018-10-01T20:01:50.317Z,2018-10-01T21:19:46.481Z,Los Angeles
10032637,2018-10-01T20:09:32.759Z,2018-10-01T20:32:06.705Z,Chicago
10032638,2018-10-01T20:35:06.131Z,2018-10-10T02:22:56.771Z,Chicago
10032639,2018-10-01T21:00:11.722Z,2018-10-01T21:54:43.627Z,Los Angeles
10032641,2018-10-01T22:41:24.166Z,2019-04-08T17:39:27.517Z,Chicago
10032642,2018-10-01T22:59:36.665Z,,Chicago
10032643,2018-10-02T02:10:43.246Z,2018-10-02T02:40:04.535Z,Chicago
10032644,2018-10-02T04:41:12.760Z,2018-10-02T04:59:04.353Z,Los Angeles
10032647,2018-10-02T12:36:35.596Z,,Chicago
10032648,2018-10-02T14:15:16.165Z,2018-10-02T14:38:48.662Z,Chicago
10032649,2018-10-02T15:31:46.574Z,,Chicago
10032654,2018-10-02T16:54:05.581Z,2018-10-02T17:21:37.927Z,Chicago
10032655,2018-10-02T18:17:08.719Z,2018-10-03T21:12:53.551Z,Los Angeles
10032659,2018-10-02T19:13:07.011Z,,Los Angeles
10032660,2018-10-02T19:20:59.402Z,2018-10-02T19:41:05.596Z,Chicago
10032661,2018-10-02T22:38:37.239Z,2018-10-02T22:48:36.514Z,Los Angeles
10032664,2018-10-03T13:16:11.249Z,,Chicago
10032665,2018-10-03T13:51:42.096Z,2018-10-03T14:20:34.203Z,Chicago
10032666,2018-10-03T15:53:46.520Z,2018-10-03T16:10:45.864Z,Chicago
10032667,2018-10-03T16:55:04.685Z,2018-10-04T04:40:26.397Z,Chicago
10032668,2018-10-03T17:01:30.345Z,2018-10-03T17:09:22.541Z,Chicago
